"","ID1","ID2","ID3","ID4","ID5","Kills","Time","Win","Gold","Killspermin","Goldpermin","Assists","Intensity","Assistspermin","Region","IndegCent","OutdegCent"
"2953",3,12,1,6,7,29,38.55,0,69835,0.752269779507134,1811.54345006485,59,0.043579766536965,0.0282618460032198,"Brazil",0.244444444444444,0.244444444444444
"2954",0,3,5,1,2,11,25.5,0,38099,0.431372549019608,1494.07843137255,11,0.0739064856711916,0.0753556324490581,"Brazil",0.155555555555556,0.266666666666667
"2955",12,0,9,7,6,34,23.05,1,51464,1.47505422993492,2232.7114967462,42,0.0896601590744758,0.0583471751026957,"Brazil",0.277777777777778,0.277777777777778
"2956",4,1,2,0,3,10,19.8166666666667,0,29891,0.504625735912532,1508.37678721615,21,0.0519917424879578,0.0865800253373898,"Brazil",0.177777777777778,0.288888888888889
"2957",18,12,3,6,8,47,17.8333333333333,0,66592,2.63551401869159,3734.1308411215,38,0.0619773733398918,0.198095903572364,"Brazil",0.3,0.3
"2958",7,15,1,15,3,41,17.8666666666667,0,73983,2.29477611940298,4140.83955223881,60,0.0616620288388566,0.203622744486523,"Brazil",0.266666666666667,0.266666666666667
"2959",9,12,14,10,17,62,21.9666666666667,0,90508,2.82245827010622,4120.24279210926,52,0.0326395052538151,0.0787508548612534,"Brazil",0.244444444444444,0.244444444444444
"2960",15,10,8,0,6,39,11.5333333333333,1,53278,3.38150289017341,4619.47976878613,63,0.102469784550709,0.195462594807712,"Brazil",0.266666666666667,0.266666666666667
"2961",3,10,8,10,7,38,33.1,1,68518,1.14803625377644,2070.03021148036,59,0.0541289023162135,0.0392475424649282,"Brazil",0.233333333333333,0.233333333333333
"2962",12,7,2,5,1,27,33.4833333333333,1,66218,0.806371329019413,1977.6406172225,36,0.0484028767099775,0.0419218543929123,"Brazil",0.288888888888889,0.288888888888889
"2963",15,4,9,31,7,66,23.0666666666667,0,90820,2.86127167630058,3937.28323699422,63,0.0452937624018635,0.131561361889806,"Brazil",0.244444444444444,0.244444444444444
"2964",7,5,10,6,6,34,21.6333333333333,0,77994,1.57164869029276,3605.26964560863,44,0.0347929817585367,0.149572294462739,"Brazil",0.244444444444444,0.244444444444444
"2965",9,18,7,22,13,69,16.1,1,80031,4.28571428571429,4970.86956521739,58,0.0657654366094264,0.208325296091972,"Brazil",0.266666666666667,0.266666666666667
"2966",23,9,1,7,11,51,17.9166666666667,0,72321,2.84651162790698,4036.52093023256,70,0.0764221824686941,0.277252568956192,"Brazil",0.255555555555556,0.255555555555556
"2967",5,8,7,0,17,37,12.1,1,56417,3.05785123966942,4662.56198347107,32,0.0745817375529127,0.252714978485076,"Brazil",0.222222222222222,0.333333333333333
"2968",0,9,7,15,7,38,13.05,0,52979,2.91187739463602,4059.69348659004,32,0.0391293714844705,0.140925705729511,"Brazil",0.211111111111111,0.211111111111111
"2969",4,7,10,7,10,38,15.0666666666667,0,59125,2.52212389380531,3924.22566371681,32,0.0458567980691875,0.167397603571149,"Brazil",0.188888888888889,0.3
"2970",7,34,2,9,7,59,17.1,1,76361,3.45029239766082,4465.55555555555,44,0.0648016437490122,0.140214082965699,"Brazil",0.266666666666667,0.266666666666667
"2971",21,10,18,14,5,68,23.0333333333333,0,94943,2.95224312590449,4121.98263386397,93,0.0708355548785132,0.175294933201531,"Brazil",0.233333333333333,0.233333333333333
"2972",14,8,13,16,9,60,19.3166666666667,0,86706,3.10612597066437,4488.66264020708,37,0.0482708765711354,0.184920355458017,"Brazil",0.2,0.311111111111111
"2973",7,15,32,10,1,65,19.8833333333333,0,87956,3.26906957250629,4423.60435875943,88,0.0632723143065733,0.197295062213288,"Brazil",0.222222222222222,0.222222222222222
"2974",15,5,30,5,11,66,20.0833333333333,1,89093,3.28630705394191,4436.16597510374,98,0.0574529205234599,0.148757769322154,"Brazil",0.233333333333333,0.233333333333333
"2975",13,14,12,6,5,50,15.6333333333333,0,69852,3.19829424307036,4468.14498933902,61,0.0567439301189903,0.225039893435655,"Brazil",0.255555555555556,0.255555555555556
